,query,top_hits_corpus,top_hits_score,top_hits_status
0,ample food,[EM]open hands[EM]face savoring food[EM],0.9985661506652832,True
1,ample food,[EM]OK hand light skin tone[EM]fork and knife with plate[EM]red apple[EM],0.9983388185501099,True
2,ample food,[EM]rice ball[EM]cooked rice[EM]rice cracker[EM]steaming bowl[EM],0.9982715845108032,True
3,ample food,[EM]baguette bread[EM]pancakes[EM]canned food[EM]curry rice[EM]pot of food[EM],0.9981502294540405,True
4,ample food,[EM]hamburger[EM]hot dog[EM]taco[EM]smiling face with smiling eyes[EM],0.9978227615356445,True
5,ample supply,[EM]woman gesturing OK light skin tone[EM]package[EM],0.9975910186767578,True
6,ample supply,[EM]OK hand light skin tone[EM]locked[EM],0.9971590638160706,True
7,ample supply,[EM]family woman woman girl girl[EM]family man man girl girl[EM]family man woman girl girl[EM]chart increasing[EM],0.9965609312057495,True
8,ample supply,[EM]fork and knife with plate[EM]check mark button[EM],0.9962468147277832,True
9,ample supply,[EM]green apple[EM]banana[EM]croissant[EM]taco[EM]sandwich[EM]pretzel[EM]cheese wedge[EM]egg[EM]pancakes[EM]leafy green[EM]hot pepper[EM]oden[EM]bubble tea[EM]chestnut[EM]cookie[EM]birthday cake[EM]clinking glasses[EM]ice cream[EM],0.9833195805549622,True
10,ample waistline,[EM]pregnant woman[EM]chart increasing[EM],0.9963912963867188,True
11,ample waistline,[EM]pinched fingers light skin tone[EM]dress[EM],0.9951622486114502,True
12,ample waistline,[EM]fork and knife[EM]fork and knife[EM]spaghetti[EM]Santa Claus[EM],0.9915329813957214,True
13,ample waistline,[EM]money with wings[EM]bank[EM]dollar banknote[EM]coin[EM]money bag[EM]chart increasing with yen[EM]ATM sign[EM]heavy dollar sign[EM]credit card[EM]money-mouth face[EM],0.9846186637878418,True
14,ample waistline,[EM]man blond hair[EM]left-right arrow[EM]up-down arrow[EM],0.8931273818016052,False
15,average merit,[EM]neutral face[EM]briefcase[EM]3rd place medal[EM],0.9972634315490723,True
16,average merit,[EM]trophy[EM]trophy[EM]woman gesturing OK[EM],0.9969403743743896,True
17,average merit,[EM]sports medal[EM]person shrugging[EM],0.9965397119522095,True
18,average merit,[EM]man gesturing OK[EM]person gesturing OK[EM],0.8013719916343689,True
19,average merit,[EM]1st place medal[EM]sun[EM],0.7845606803894043,False
20,average people,[EM]girl[EM]child[EM]boy[EM],0.99765944480896,True
21,average people,[EM]confused face[EM]man[EM],0.9975265860557556,True
22,average people,[EM]man[EM]person[EM]woman[EM]girl[EM],0.9971963167190552,True
23,average people,[EM]people holding hands[EM]women holding hands[EM]men holding hands[EM]woman gesturing OK[EM],0.9962012767791748,True
24,average people,[EM]man gesturing OK[EM]person gesturing OK[EM],0.9745044708251953,False
25,average size,[EM]wavy dash[EM]balance scale[EM],0.9961621761322021,True
26,average size,[EM]man[EM]person[EM]woman[EM]girl[EM],0.8268470764160156,False
27,average size,[EM]confused face[EM]man[EM],0.825234055519104,False
28,average size,[EM]girl[EM]child[EM]boy[EM],0.8233878016471863,False
29,average size,[EM]people holding hands[EM]women holding hands[EM]men holding hands[EM]woman gesturing OK[EM],0.8193391561508179,False
30,big business,[EM]necktie[EM]chart increasing[EM],0.9979398250579834,True
31,big business,[EM]man technologist[EM]handshake[EM],0.9977224469184875,True
32,big business,[EM]money bag[EM]chart increasing[EM],0.9972666501998901,True
33,big business,[EM]office building[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],0.9971514344215393,True
34,big business,[EM]handshake[EM]tear-off calendar[EM],0.99687659740448,True
35,big city,[EM]sunset[EM]cityscape[EM],0.9984459280967712,True
36,big city,[EM]cityscape at dusk[EM]exploding head[EM],0.9980169534683228,True
37,big city,[EM]cityscape[EM]up-down arrow[EM]left-right arrow[EM],0.9979591965675354,True
38,big city,[EM]sunset[EM]foggy[EM]cityscape at dusk[EM]cityscape[EM]night with stars[EM]Statue of Liberty[EM],0.9977555871009827,True
39,big city,[EM]house[EM]classical building[EM]woman police officer[EM]chart increasing[EM]Singapore[EM],0.82099449634552,False
40,big day,[EM]anxious face with sweat[EM]sun[EM],0.9959489107131958,True
41,big day,[EM]red exclamation mark[EM]tear-off calendar[EM],0.994417667388916,True
42,big day,[EM]man with veil[EM]woman with veil[EM]man in tuxedo[EM]woman in tuxedo[EM],0.994379460811615,True
43,big day,[EM]couple with heart woman man[EM]person with veil[EM],0.993755578994751,True
44,big day,[EM]ring[EM]man with veil[EM]woman with veil[EM]man in tuxedo[EM]couple with heart[EM],0.9921143651008606,False
45,big expenditure,[EM]man technologist[EM]money with wings[EM],0.9977827072143555,True
46,big expenditure,[EM]money-mouth face[EM]money with wings[EM],0.9974372982978821,True
47,big expenditure,[EM]woman technologist[EM]money-mouth face[EM],0.9712725281715393,False
48,big expenditure,[EM]chart increasing[EM]money with wings[EM],0.9596672058105469,True
49,big expenditure,[EM]TOP arrow[EM]money with wings[EM],0.9286341667175293,False
50,big group,[EM]people holding hands[EM]woman and man holding hands[EM]women holding hands[EM]men holding hands[EM],0.99233478307724,True
51,big group,[EM]woman and man holding hands[EM]women holding hands[EM]family man man girl girl[EM]men holding hands[EM]family man man girl[EM],0.9798083305358887,True
52,big group,[EM]kiss woman man[EM]family man woman boy boy[EM],0.886620819568634,False
53,big group,[EM]open hands[EM]chart increasing[EM],0.866012454032898,False
54,big group,[EM]house[EM]classical building[EM]woman police officer[EM]chart increasing[EM]Singapore[EM],0.8656566143035889,False
55,big man,[EM]flexed biceps[EM]man standing[EM],0.99649578332901,True
56,big man,[EM]man beard[EM]astonished face[EM]up arrow[EM],0.9944180250167847,True
57,big man,[EM]man standing[EM]flexed biceps[EM],0.9915347695350647,True
58,big man,[EM]flexed biceps[EM]man beard[EM],0.939902663230896,True
